Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	206.0	2387068	-0.563
miRNA	5.0	51758	-0.401
ncRNA	126.0	925379	0.095
TTS	1512.0	13498856	-0.187
Exon	696.0	15458407	-1.502
Intron	4117.0	49840935	-0.626
Intergenic	1677.0	36634353	-1.478
Promoter	8926.0	19039859	1.878
5UTR	504.0	1504852	1.393
rRNA	0.0	7664	-14.117
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	206.0	2387068	-0.558
Other	1.0	33922	-2.108
RNA	0.0	13525	-14.117
miRNA	5.0	51758	-0.395
ncRNA	126.0	925379	0.100
TTS	1512.0	13498856	-0.182
LINE	107.0	6096484	-2.856
RC	0.0	554	-14.117
DNA	23.0	1399719	-2.951
Exon	696.0	15458407	-1.497
Intron	3871.0	41370791	-0.441
Intergenic	1465.0	23808154	-1.046
Promoter	8926.0	19039859	1.883
5UTR	504.0	1504852	1.398
Low_complexity	39.0	801234	-1.384
LTR	164.0	10951629	-3.085
Simple_repeat	120.0	908926	0.055
Unknown	3.0	92061	-1.963
Satellite	2.0	1463755	-6.539
rRNA	0.0	49802	-14.117
