Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	99.0	2386947	-0.688
miRNA	0.0	51758	-13.181
ncRNA	59.0	925379	-0.068
TTS	808.0	13492230	-0.158
Exon	368.0	15425453	-1.486
Intron	2003.0	49637983	-0.728
Intergenic	814.0	36576041	-1.586
Promoter	4853.0	19033253	1.932
5UTR	286.0	1504827	1.508
rRNA	0.0	7664	-13.181
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	99.0	2386947	-0.683
Other	1.0	33922	-1.176
RNA	0.0	13525	-13.181
miRNA	0.0	51758	-13.181
ncRNA	59.0	925379	-0.063
TTS	808.0	13492230	-0.153
LINE	47.0	6055896	-3.101
RC	0.0	554	-13.181
DNA	12.0	1386585	-2.944
Exon	368.0	15425453	-1.481
Intron	1889.0	41247020	-0.540
Intergenic	700.0	23755817	-1.176
Promoter	4853.0	19033253	1.937
5UTR	286.0	1504827	1.513
Low_complexity	23.0	792954	-1.199
LTR	81.0	10874789	-3.160
Simple_repeat	60.0	905955	-0.008
Unknown	3.0	91752	-1.026
Satellite	1.0	1463755	-6.607
rRNA	0.0	49802	-13.181
