#name (cmd = mergePeaks -d 100 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_100_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3R-3833825-1	chr3R	3833775	3833875	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9126a
Merged-chr3L-141341-1	chr3L	141291	141391	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5533b
Merged-chr2L-15499624-1	chr2L	15499574	15499674	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940f
Merged-chr2R-3901886-1	chr2R	3901836	3901936	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130b
Merged-chr2R-3902043-1	chr2R	3901993	3902093	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130c
Merged-chr2R-12417125-1	chr2R	12417075	12417175	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4332b
Merged-chr3R-4983705-2	chr3R	4983613	4983798	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_9289a,Insv_ChIPnexus_peak_9289b
Merged-chr2L-16825289-1	chr2L	16825239	16825339	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2090e
Merged-chr2L-1715928-1	chr2L	1715878	1715978	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_207
Merged-chrX-13150666-1	chrX	13150616	13150716	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13904a
Merged-chr2L-1728739-1	chr2L	1728689	1728789	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_210
Merged-chr2L-1819912-1	chr2L	1819862	1819962	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_217
Merged-chrX-14968809-1	chrX	14968759	14968859	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14053b
Merged-chrX-13151326-1	chrX	13151276	13151376	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13905b
