#name (cmd = mergePeaks -d 150 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_150_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3R-3833825-1	chr3R	3833750	3833900	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9126a
Merged-chr3L-141341-1	chr3L	141266	141416	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5533b
Merged-chr2L-15499624-1	chr2L	15499549	15499699	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940f
Merged-chr2R-3901886-1	chr2R	3901811	3901961	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130b
Merged-chr2R-3902043-1	chr2R	3901968	3902118	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130c
Merged-chr2R-12417125-1	chr2R	12417050	12417200	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4332b
Merged-chr3R-4983705-2	chr3R	4983588	4983823	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_9289a,Insv_ChIPnexus_peak_9289b
Merged-chr2L-16825289-1	chr2L	16825214	16825364	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_2090e
Merged-chr2L-1715928-1	chr2L	1715853	1716003	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_207
Merged-chrX-13150666-1	chrX	13150591	13150741	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13904a
Merged-chr2L-1728739-1	chr2L	1728664	1728814	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_210
Merged-chr2L-1819912-1	chr2L	1819837	1819987	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_217
Merged-chrX-14968809-1	chrX	14968734	14968884	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_14053b
Merged-chrX-13151326-1	chrX	13151251	13151401	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_13905b
Merged-chr2R-12459762-2	chr2R	12459648	12459877	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	2				Insv_ChIPnexus_peak_4336a,Insv_ChIPnexus_peak_4336b
Merged-chr3L-162062-1	chr3L	161987	162137	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538a
Merged-chr3L-162312-1	chr3L	162237	162387	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5538b
