Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	39.0	2386947	-0.619
miRNA	0.0	51758	-11.769
ncRNA	25.0	925379	0.106
TTS	369.0	13492230	0.124
Exon	159.0	15425453	-1.284
Intron	859.0	49637983	-0.536
Intergenic	387.0	36576041	-1.246
Promoter	1554.0	19033253	1.702
5UTR	98.0	1504827	1.375
rRNA	0.0	7664	-11.769
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	39.0	2386947	-0.615
Other	1.0	33922	0.237
RNA	0.0	13525	-11.769
miRNA	0.0	51758	-11.769
ncRNA	25.0	925379	0.111
TTS	369.0	13492230	0.128
LINE	20.0	6055896	-2.921
RC	0.0	554	-11.769
DNA	5.0	1386585	-2.795
Exon	159.0	15425453	-1.279
Intron	806.0	41247020	-0.357
Intergenic	337.0	23755817	-0.819
Promoter	1554.0	19033253	1.706
5UTR	98.0	1504827	1.380
Low_complexity	4.0	792954	-2.310
LTR	34.0	10874789	-3.000
Simple_repeat	38.0	905955	0.745
Unknown	0.0	91752	-11.769
Satellite	1.0	1463755	-5.195
rRNA	0.0	49802	-11.769
