Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	3.0	2385260	-1.707
miRNA	0.0	51758	-9.155
ncRNA	5.0	924478	0.398
TTS	71.0	13481751	0.359
Exon	16.0	15416818	-1.984
Intron	128.0	49608662	-0.670
Intergenic	68.0	36459207	-1.138
Promoter	270.0	19016824	1.790
5UTR	9.0	1503915	0.544
rRNA	0.0	7664	-9.155
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	3.0	2385260	-1.702
Other	0.0	33922	-9.155
RNA	0.0	13525	-9.155
miRNA	0.0	51758	-9.155
ncRNA	5.0	924478	0.402
TTS	71.0	13481751	0.364
LINE	1.0	5980645	-4.613
DNA	0.0	1380344	-9.155
Exon	16.0	15416818	-1.979
Intron	121.0	41227853	-0.480
Intergenic	52.0	23729170	-0.901
Promoter	270.0	19016824	1.795
5UTR	9.0	1503915	0.548
Low_complexity	0.0	791430	-9.155
LTR	7.0	10848328	-2.665
Simple_repeat	15.0	902166	2.023
Unknown	0.0	91586	-9.155
Satellite	0.0	1463755	-9.155
rRNA	0.0	44533	-9.155
