Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	37.0	2386947	-0.572
miRNA	0.0	51758	-11.646
ncRNA	24.0	925379	0.170
TTS	338.0	13492230	0.120
Exon	144.0	15425453	-1.304
Intron	785.0	49637983	-0.544
Intergenic	371.0	36576041	-1.184
Promoter	1412.0	19033253	1.686
5UTR	94.0	1504827	1.438
rRNA	0.0	7664	-11.646
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	37.0	2386947	-0.568
Other	1.0	33922	0.360
RNA	0.0	13525	-11.646
miRNA	0.0	51758	-11.646
ncRNA	24.0	925379	0.175
TTS	338.0	13492230	0.125
LINE	19.0	6055896	-2.872
RC	0.0	554	-11.646
DNA	5.0	1386585	-2.672
Exon	144.0	15425453	-1.299
Intron	735.0	41247020	-0.367
Intergenic	321.0	23755817	-0.766
Promoter	1412.0	19033253	1.691
5UTR	94.0	1504827	1.443
Low_complexity	3.0	792954	-2.602
LTR	34.0	10874789	-2.878
Simple_repeat	37.0	905955	0.830
Unknown	0.0	91752	-11.646
Satellite	1.0	1463755	-5.072
rRNA	0.0	49802	-11.646
