#name (cmd = mergePeaks -d 10 Elba1_ChIPnexus_sumit_q10.bed Elba2_ChIPnexus_sumit_q5.bed Elba3_ChIPnexus_sumit_q10.bed Insv_ChIPnexus_sumit_q10.bed -venn chipseq_10_venn.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	Elba1_ChIPnexus_sumit_q10.bed	Elba2_ChIPnexus_sumit_q5.bed	Elba3_ChIPnexus_sumit_q10.bed	Insv_ChIPnexus_sumit_q10.bed
Merged-chr3R-3833825-1	chr3R	3833820	3833830	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9126a
Merged-chr3L-141341-1	chr3L	141336	141346	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_5533b
Merged-chr2L-15498957-1	chr2L	15498952	15498962	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940a
Merged-chr2L-15499624-1	chr2L	15499619	15499629	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_1940f
Merged-chr2R-3901886-1	chr2R	3901881	3901891	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130b
Merged-chr2R-3902043-1	chr2R	3902038	3902048	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_3130c
Merged-chr2R-12417125-1	chr2R	12417120	12417130	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_4332b
Merged-chr3R-3835002-1	chr3R	3834997	3835007	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9128a
Merged-chr3R-3835080-1	chr3R	3835075	3835085	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9128b
Merged-chr3R-4983663-1	chr3R	4983658	4983668	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9289a
Merged-chr3R-4983748-1	chr3R	4983743	4983753	+	0.000000	Insv_ChIPnexus_sumit_q10.bed	1				Insv_ChIPnexus_peak_9289b
