pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.79	6	9894	1649.00
9.60	5.49	6	9942	1657.00
9.30	5.20	4	10093	2523.00
9.00	4.91	4	10207	2551.00
8.70	4.62	4	10246	2561.00
8.40	4.33	4	10279	2569.00
8.10	4.04	4	10299	2574.00
7.80	3.75	5	10582	2116.00
7.50	3.46	5	10607	2121.00
7.20	3.18	5	10657	2131.00
6.90	2.91	5	10752	2150.00
6.60	2.64	5	10768	2153.00
6.30	2.40	5	10788	2157.00
6.00	2.14	5	10816	2163.00
5.70	1.92	5	10826	2165.00
5.40	1.71	5	11104	2220.00
5.10	1.49	5	11118	2223.00
4.80	1.37	7	11568	1652.00
4.50	1.16	9	12050	1338.00
4.20	1.07	20	14590	729.00
3.90	0.88	30	17145	571.00
3.60	0.81	44	20930	475.00
3.30	0.63	83	29861	359.00
3.00	0.56	180	53454	296.00
2.70	0.40	450	117642	261.00
2.40	0.34	680	173824	255.00
2.10	0.23	1652	414042	250.00
1.80	0.13	2753	694687	252.00
1.50	0.08	6886	1779070	258.00
1.20	0.00	14068	3766621	267.00
0.90	0.00	31397	8924031	284.00
0.60	0.00	64473	20375846	316.00
0.30	0.00	114398	44058595	385.00
