pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.04	19	16648	876.00
9.60	5.75	20	16903	845.00
9.30	5.46	20	16957	847.00
9.00	5.16	20	17745	887.00
8.70	4.87	22	18315	832.00
8.40	4.58	22	18470	839.00
8.10	4.29	22	18822	855.00
7.80	4.01	22	19048	865.00
7.50	3.72	22	19133	869.00
7.20	3.43	25	20223	808.00
6.90	3.15	26	20732	797.00
6.60	2.89	27	21049	779.00
6.30	2.61	27	21253	787.00
6.00	2.37	27	21411	793.00
5.70	2.11	29	21946	756.00
5.40	1.90	30	22663	755.00
5.10	1.66	32	23615	737.00
4.80	1.49	34	24283	714.00
4.50	1.27	37	25603	691.00
4.20	1.15	40	27265	681.00
3.90	0.95	51	29998	588.00
3.60	0.85	87	38683	444.00
3.30	0.69	145	52715	363.00
3.00	0.59	231	73231	317.00
2.70	0.49	451	127609	282.00
2.40	0.34	958	254089	265.00
2.10	0.27	1552	403763	260.00
1.80	0.20	3514	912146	259.00
1.50	0.09	7874	2081357	264.00
1.20	0.00	16695	4588061	274.00
0.90	0.00	33405	9780043	292.00
0.60	0.00	62993	20411383	324.00
0.30	0.00	106780	41841838	391.00
