pscore	qscore	npeaks	lpeaks	avelpeak
9.90	5.34	2	565	282.00
9.60	5.09	2	576	288.00
9.30	4.82	2	580	290.00
9.00	4.55	2	585	292.00
8.70	4.30	2	588	294.00
8.40	4.04	2	598	299.00
8.10	3.80	3	806	268.00
7.80	3.56	3	811	270.00
7.50	3.34	5	1214	242.00
7.20	3.10	6	1434	239.00
6.90	2.89	8	1894	236.00
6.60	2.66	8	1921	240.00
6.30	2.43	10	2363	236.00
6.00	2.23	10	2439	243.00
5.70	2.01	13	3283	252.00
5.40	1.84	18	4396	244.00
5.10	1.64	23	5631	244.00
4.80	1.49	36	8655	240.00
4.50	1.31	43	10935	254.00
4.20	1.18	58	14905	256.00
3.90	1.02	96	24221	252.00
3.60	0.87	133	33928	255.00
3.30	0.77	223	57670	258.00
3.00	0.60	327	85100	260.00
2.70	0.49	594	152276	256.00
2.40	0.39	1087	281117	258.00
2.10	0.25	1849	485342	262.00
1.80	0.18	3751	997756	265.00
1.50	0.08	7723	2092247	270.00
1.20	0.00	14873	4182685	281.00
0.90	0.00	29082	8618139	296.00
0.60	0.00	55819	18124017	324.00
0.30	0.00	108631	44078324	405.00
