Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	166.0	2387068	-0.959
miRNA	5.0	51758	-0.485
ncRNA	123.0	925379	-0.025
TTS	1587.0	13498856	-0.202
Exon	447.0	15458407	-2.225
Intron	4436.0	49840935	-0.603
Intergenic	1950.0	36634353	-1.345
Promoter	9706.0	19039859	1.915
5UTR	422.0	1504852	1.052
rRNA	0.0	7664	-14.202
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	166.0	2387068	-0.954
Other	0.0	33922	-14.202
RNA	0.0	13525	-14.202
miRNA	5.0	51758	-0.480
ncRNA	123.0	925379	-0.020
TTS	1587.0	13498856	-0.197
LINE	91.0	6096484	-3.174
RC	0.0	554	-14.202
DNA	42.0	1399719	-2.167
Exon	447.0	15458407	-2.220
Intron	4171.0	41370791	-0.418
Intergenic	1736.0	23808154	-0.886
Promoter	9706.0	19039859	1.920
5UTR	422.0	1504852	1.058
Low_complexity	52.0	801234	-1.054
LTR	168.0	10951629	-3.135
Simple_repeat	122.0	908926	-0.005
Unknown	1.0	92061	-3.633
Satellite	4.0	1463755	-5.624
rRNA	0.0	49802	-14.202
