Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	69.0	2387068	-0.267
miRNA	1.0	51758	-0.849
ncRNA	43.0	925379	0.418
TTS	520.0	13498856	0.147
Exon	260.0	15458407	-1.049
Intron	1313.0	49840935	-0.401
Intergenic	617.0	36634353	-1.047
Promoter	1888.0	19039859	1.511
5UTR	137.0	1504852	1.388
rRNA	0.0	7664	-12.243
Annotation	Number of peaks	Total size (bp)	Log2 Enrichment
3UTR	69.0	2387068	-0.262
Other	1.0	33922	-0.234
RNA	0.0	13525	-12.243
miRNA	1.0	51758	-0.844
ncRNA	43.0	925379	0.422
TTS	520.0	13498856	0.152
LINE	33.0	6096484	-2.679
RC	0.0	554	-12.243
DNA	10.0	1399719	-2.279
Exon	260.0	15458407	-1.044
Intron	1232.0	41370791	-0.219
Intergenic	512.0	23808154	-0.689
Promoter	1888.0	19039859	1.516
5UTR	137.0	1504852	1.393
Low_complexity	6.0	801234	-2.211
LTR	79.0	10951629	-2.265
Simple_repeat	57.0	908926	0.855
Unknown	0.0	92061	-12.243
Satellite	1.0	1463755	-5.665
rRNA	0.0	49802	-12.243
